Job Description,Candidate,Score,Status
Hadoop Developer,Resume_10_Dr._Helena_Vance.pdf,4.9%,Auto-Rejected
Hadoop Developer,Resume_1_Arjun_Mehta.pdf,32.8%,Review
Hadoop Developer,Resume_2_Sarah_Jenkins.pdf,17.1%,Review
Hadoop Developer,Resume_3_Li_Wei.pdf,32.1%,Review
Hadoop Developer,Resume_4_Elena_Rodriguez.pdf,13.3%,Auto-Rejected
Hadoop Developer,Resume_5_David_Chen.pdf,23.8%,Review
Hadoop Developer,Resume_6_Marcus_Thorne.pdf,4.9%,Auto-Rejected
Hadoop Developer,Resume_7_Chloe_Simmons.pdf,0.0%,Auto-Rejected
Hadoop Developer,Resume_8_Julian_Vane.pdf,5.2%,Auto-Rejected
Hadoop Developer,Resume_9_Sofia_Rossi.pdf,4.3%,Auto-Rejected
Hadoop Engineer,Resume1.pdf,24.4%,Review
Hadoop Engineer,Resume_10_Dr._Helena_Vance.pdf,5.0%,Auto-Rejected
Hadoop Engineer,Resume_1_Arjun_Mehta.pdf,23.5%,Review
Hadoop Engineer,Resume_2_Sarah_Jenkins.pdf,17.1%,Review
Hadoop Engineer,Resume_3_Li_Wei.pdf,21.0%,Review
Hadoop Engineer,Resume_4_Elena_Rodriguez.pdf,5.6%,Auto-Rejected
Hadoop Engineer,Resume_5_David_Chen.pdf,16.2%,Review
Hadoop Engineer,Resume_6_Marcus_Thorne.pdf,5.1%,Auto-Rejected
Hadoop Engineer,Resume_7_Chloe_Simmons.pdf,0.2%,Auto-Rejected
Hadoop Engineer,Resume_8_Julian_Vane.pdf,5.4%,Auto-Rejected
Hadoop Engineer,Resume_9_Sofia_Rossi.pdf,4.3%,Auto-Rejected
Hadoop Ecosystem Engineer,Resume1.pdf,31.9%,Review
Hadoop Ecosystem Engineer,Resume_10_Dr._Helena_Vance.pdf,4.9%,Auto-Rejected
Hadoop Ecosystem Engineer,Resume_1_Arjun_Mehta.pdf,32.0%,Review
Hadoop Ecosystem Engineer,Resume_2_Sarah_Jenkins.pdf,17.2%,Review
Hadoop Ecosystem Engineer,Resume_3_Li_Wei.pdf,20.5%,Review
Hadoop Ecosystem Engineer,Resume_4_Elena_Rodriguez.pdf,13.2%,Auto-Rejected
Hadoop Ecosystem Engineer,Resume_5_David_Chen.pdf,23.8%,Review
Hadoop Ecosystem Engineer,Resume_6_Marcus_Thorne.pdf,5.1%,Auto-Rejected
Hadoop Ecosystem Engineer,Resume_7_Chloe_Simmons.pdf,0.1%,Auto-Rejected
Hadoop Ecosystem Engineer,Resume_8_Julian_Vane.pdf,5.5%,Auto-Rejected
Hadoop Ecosystem Engineer,Resume_9_Sofia_Rossi.pdf,4.4%,Auto-Rejected
Spark Developer,Resume1.pdf,31.9%,Review
Spark Developer,Resume_10_Dr._Helena_Vance.pdf,4.9%,Auto-Rejected
Spark Developer,Resume_1_Arjun_Mehta.pdf,38.8%,Shortlisted
Spark Developer,Resume_2_Sarah_Jenkins.pdf,25.2%,Review
Spark Developer,Resume_3_Li_Wei.pdf,20.7%,Review
Spark Developer,Resume_4_Elena_Rodriguez.pdf,21.6%,Review
Spark Developer,Resume_5_David_Chen.pdf,23.7%,Review
Spark Developer,Resume_6_Marcus_Thorne.pdf,4.9%,Auto-Rejected
Spark Developer,Resume_7_Chloe_Simmons.pdf,0.0%,Auto-Rejected
Spark Developer,Resume_8_Julian_Vane.pdf,5.2%,Auto-Rejected
Spark Developer,Resume_9_Sofia_Rossi.pdf,4.2%,Auto-Rejected
Apache Spark Engineer,Resume1.pdf,32.1%,Review
Apache Spark Engineer,Resume_10_Dr._Helena_Vance.pdf,4.9%,Auto-Rejected
Apache Spark Engineer,Resume_1_Arjun_Mehta.pdf,38.7%,Shortlisted
Apache Spark Engineer,Resume_2_Sarah_Jenkins.pdf,17.7%,Review
Apache Spark Engineer,Resume_3_Li_Wei.pdf,5.5%,Auto-Rejected
Apache Spark Engineer,Resume_4_Elena_Rodriguez.pdf,29.1%,Review
Apache Spark Engineer,Resume_5_David_Chen.pdf,23.8%,Review
Apache Spark Engineer,Resume_6_Marcus_Thorne.pdf,5.0%,Auto-Rejected
Apache Spark Engineer,Resume_7_Chloe_Simmons.pdf,0.1%,Auto-Rejected
Apache Spark Engineer,Resume_8_Julian_Vane.pdf,5.2%,Auto-Rejected
Apache Spark Engineer,Resume_9_Sofia_Rossi.pdf,4.4%,Auto-Rejected
Distributed Systems Engineer (Data),Resume1.pdf,24.3%,Review
Distributed Systems Engineer (Data),Resume_10_Dr._Helena_Vance.pdf,5.0%,Auto-Rejected
Distributed Systems Engineer (Data),Resume_1_Arjun_Mehta.pdf,31.4%,Review
Distributed Systems Engineer (Data),Resume_2_Sarah_Jenkins.pdf,17.3%,Review
Distributed Systems Engineer (Data),Resume_3_Li_Wei.pdf,20.5%,Review
Distributed Systems Engineer (Data),Resume_4_Elena_Rodriguez.pdf,21.0%,Review
Distributed Systems Engineer (Data),Resume_5_David_Chen.pdf,16.3%,Review
Distributed Systems Engineer (Data),Resume_6_Marcus_Thorne.pdf,4.9%,Auto-Rejected
Distributed Systems Engineer (Data),Resume_7_Chloe_Simmons.pdf,0.1%,Auto-Rejected
Distributed Systems Engineer (Data),Resume_8_Julian_Vane.pdf,5.2%,Auto-Rejected
Distributed Systems Engineer (Data),Resume_9_Sofia_Rossi.pdf,4.3%,Auto-Rejected
MapReduce Developer,Resume1.pdf,24.2%,Review
MapReduce Developer,Resume_10_Dr._Helena_Vance.pdf,4.9%,Auto-Rejected
MapReduce Developer,Resume_1_Arjun_Mehta.pdf,23.6%,Review
MapReduce Developer,Resume_2_Sarah_Jenkins.pdf,17.1%,Review
MapReduce Developer,Resume_3_Li_Wei.pdf,21.4%,Review
MapReduce Developer,Resume_4_Elena_Rodriguez.pdf,5.6%,Auto-Rejected
MapReduce Developer,Resume_5_David_Chen.pdf,16.3%,Review
MapReduce Developer,Resume_6_Marcus_Thorne.pdf,5.0%,Auto-Rejected
MapReduce Developer,Resume_7_Chloe_Simmons.pdf,0.2%,Auto-Rejected
MapReduce Developer,Resume_8_Julian_Vane.pdf,5.2%,Auto-Rejected
MapReduce Developer,Resume_9_Sofia_Rossi.pdf,4.6%,Auto-Rejected
HDFS Engineer,Resume1.pdf,24.3%,Review
HDFS Engineer,Resume_10_Dr._Helena_Vance.pdf,5.0%,Auto-Rejected
HDFS Engineer,Resume_1_Arjun_Mehta.pdf,23.6%,Review
HDFS Engineer,Resume_2_Sarah_Jenkins.pdf,17.2%,Review
HDFS Engineer,Resume_3_Li_Wei.pdf,13.2%,Auto-Rejected
HDFS Engineer,Resume_4_Elena_Rodriguez.pdf,5.6%,Auto-Rejected
HDFS Engineer,Resume_5_David_Chen.pdf,16.2%,Review
HDFS Engineer,Resume_6_Marcus_Thorne.pdf,5.1%,Auto-Rejected
HDFS Engineer,Resume_7_Chloe_Simmons.pdf,0.2%,Auto-Rejected
HDFS Engineer,Resume_8_Julian_Vane.pdf,5.2%,Auto-Rejected
HDFS Engineer,Resume_9_Sofia_Rossi.pdf,4.5%,Auto-Rejected
Data Engineer (Big Data),Resume1.pdf,32.4%,Review
Data Engineer (Big Data),Resume_10_Dr._Helena_Vance.pdf,5.0%,Auto-Rejected
Data Engineer (Big Data),Resume_1_Arjun_Mehta.pdf,32.4%,Review
Data Engineer (Big Data),Resume_2_Sarah_Jenkins.pdf,17.3%,Review
Data Engineer (Big Data),Resume_3_Li_Wei.pdf,21.2%,Review
Data Engineer (Big Data),Resume_4_Elena_Rodriguez.pdf,21.3%,Review
Data Engineer (Big Data),Resume_5_David_Chen.pdf,23.9%,Review
Data Engineer (Big Data),Resume_6_Marcus_Thorne.pdf,4.9%,Auto-Rejected
Data Engineer (Big Data),Resume_7_Chloe_Simmons.pdf,0.1%,Auto-Rejected
Data Engineer (Big Data),Resume_8_Julian_Vane.pdf,5.5%,Auto-Rejected
Data Engineer (Big Data),Resume_9_Sofia_Rossi.pdf,4.3%,Auto-Rejected
